id,sin,cobertura,fec_ocu,causa,ent_mun,tipo_perd,monto_ded,monto_ocu
334286,772926,1,20241207,7,24028,4,0,3200
206902,732491,1,20240504,7,24028,4,12251.38,51505.55
7241,650746,1,20221229,7,24028,4,0,1440
232990,719893,1,20240220,7,24028,4,0,1421.61
255503,733178,1,20240510,7,24028,4,309,1236
158964,698659,1,20231008,7,24028,4,0,3672
136417,706687,1,20230101,7,24028,4,0,3200
200686,740456,1,20240210,7,24028,4,0,2458.4
259563,743841,1,20240703,7,24028,4,0,3900.8
43486,619587,1,20220727,7,24028,4,449,2245
132989,683005,1,20230630,7,24028,4,0,-3200
106289,688791,1,20230101,7,24028,4,0,1332
220082,707995,1,20231206,7,24028,4,0,2800
293758,751412,1,20240813,7,24028,4,0,1835.77
83124,685197,1,20230714,7,24028,4,0,-3200
69853,668616,1,20230405,7,24028,4,0,1350.4
188925,718910,1,20240216,7,24028,4,0,2808
224412,753142,1,20240824,7,24028,4,425.51,3891.07
240340,717304,1,20240206,7,24028,4,0,1777.44
180424,693063,1,20230831,7,24028,4,0,3052.8
175108,678709,1,20230604,7,24028,4,0,5142.4
143248,709428,1,20230101,7,24028,4,0,3200
45172,665361,1,20230101,6,24028,5,0,2186.99
121696,661714,1,20230101,6,24028,5,0,35040
263888,755221,1,20240905,6,24028,5,0,1600
66455,649900,1,20221231,6,24028,5,0,6163.48
329218,773927,1,20241216,6,24028,5,0,9000
80731,640260,1,20221114,6,24028,5,0,0
276887,726527,1,20240401,6,24028,5,0,2494.02
176722,698970,1,20231010,6,24028,5,0,11348
208280,740004,1,20240613,6,24028,5,0,25435.53
253550,742993,1,20240629,6,24028,5,7215,47744.55
68697,638302,1,20221104,6,24028,5,0,0
177145,676762,1,20230527,6,24028,5,0,4225.15
16318,603118,1,20220427,6,24028,5,0,9041.25
207210,720089,1,20240222,6,24028,5,0,5311.75
282454,761834,1,20241012,6,24028,5,7635,4365
324666,754479,1,20240901,6,24028,5,4455,16156.82
174062,677300,1,20230531,6,24028,5,0,4154
310816,757833,1,20240920,6,24028,5,0,45000
166078,722323,1,20240306,6,24028,5,0,27167.66
305837,768876,1,20241120,6,24028,5,0,9000
98042,627774,1,20220912,6,24028,5,0,8517.9
244246,714505,1,20240120,6,24028,5,0,27101.21
158086,667064,1,20230403,6,24028,5,0,43833.8
121540,644482,1,20221205,6,24028,5,0,0
45036,638125,1,20221104,6,24028,5,0,1666
34502,658116,1,20230101,6,24028,5,0,5697
281989,741032,1,20240618,6,24028,5,3015,8451.67
65712,624544,1,20220817,6,24028,5,0,1300
119199,704055,1,20230101,6,24028,5,0,1200
241448,728051,1,20240410,6,24028,5,0,15717.88
325941,763093,1,20241018,6,24028,5,0,22435.07
63244,609416,1,20220601,6,24028,5,0,12589.34
213694,727089,1,20240404,6,24028,5,0,4162.75
254471,756822,1,20240913,6,24028,5,0,5724.25
239350,736032,1,20240526,6,24028,5,0,2233.48
203913,705210,1,20231118,6,24028,5,0,5814.72
14323,622473,1,20220813,6,24028,5,0,10605.99
175139,696596,1,20230926,6,24028,5,0,3348.94
12694,615706,1,20220706,6,24028,5,10500,59326.68
164648,685473,1,20230715,6,24028,5,0,0
10410,642625,1,20221126,6,24028,5,0,-5083.46
144048,691487,1,20230821,6,24028,5,0,2494.7
86626,643593,1,20221130,6,24035,1,0,4431.63
128807,670281,1,20230101,6,24035,1,0,112708.57
111626,691839,1,20230823,7,24035,4,0,-3200
151764,695664,1,20230919,7,24035,4,0,852.8
86027,686521,1,20230719,6,24040,1,0,0
195865,694426,1,20230909,6,24040,2,0,161300
